"March","April","May","June","July","August","September","October","November","December16","January17","February","March","April"
298.566666666667,344.464285714286,286.4,236.7,267.833333333333,216.133333333333,240.1,212.3,275.8,320.3,288.4,341.866666666667,303.1,307.655172413793
298.633333333333,344.857142857143,285.5,236.4,267.733333333333,215.066666666667,240.5,212.5,276.966666666667,320.3,288.433333333333,341.7,303.566666666667,308.551724137931
297.933333333333,345,285.733333333333,236.3,267.1,215.233333333333,239.866666666667,212.833333333333,277.566666666667,320.666666666667,288.666666666667,341.4,304.433333333333,309.103448275862
298,345.571428571429,285.233333333333,236.3,266.766666666667,215.233333333333,239.866666666667,213.533333333333,277.233333333333,320.733333333333,289.533333333333,341.433333333333,304.633333333333,309.758620689655
297.033333333333,346.25,286.433333333333,235.933333333333,267.233333333333,215.466666666667,239.833333333333,213.7,276.9,320.7,289.3,341.4,305.366666666667,310.379310344828
296.8,347.857142857143,287.266666666667,236,268.5,214.633333333333,240.5,214.033333333333,277.8,320.7,289.6,342.1,304.866666666667,310.413793103448
296.466666666667,351.892857142857,288.9,237.8,268.266666666667,215.933333333333,240.5,216.3,278.2,321.233333333333,289.133333333333,342.933333333333,305.133333333333,312.896551724138
297.633333333333,356.5,290.033333333333,238.5,265.866666666667,216.666666666667,239.8,217.1,276.533333333333,322.966666666667,289,342.2,306.166666666667,316.413793103448
297.633333333333,357.642857142857,291.166666666667,238.033333333333,264.233333333333,216.333333333333,238.833333333333,218.366666666667,276.233333333333,324.8,289.933333333333,342,307.166666666667,319.275862068966
297.9,357.714285714286,290.333333333333,238.466666666667,261.933333333333,218.266666666667,238.933333333333,218.766666666667,276.5,325.4,290.866666666667,341.3,307.766666666667,320.689655172414
297.966666666667,358.25,289.866666666667,238.566666666667,261.533333333333,219,238.933333333333,218.3,276.633333333333,325.933333333333,292.166666666667,341.566666666667,308.033333333333,321.241379310345
298.566666666667,357.821428571429,289,239.033333333333,261.3,219.2,238.9,218.666666666667,277.966666666667,327.033333333333,293.4,342.166666666667,306.966666666667,322.310344827586
298.466666666667,358.571428571429,288.566666666667,239.333333333333,261.166666666667,218.933333333333,238.1,218.4,278.3,328.1,293.533333333333,342.466666666667,307.933333333333,322.310344827586
298.7,359,289.233333333333,240.433333333333,261.433333333333,219.133333333333,238.433333333333,219.366666666667,278.966666666667,327.8,293.466666666667,342.7,308.2,322.896551724138
298.366666666667,359.535714285714,288.666666666667,241.4,262.133333333333,219.333333333333,239.366666666667,219.333333333333,279.866666666667,327.766666666667,293.4,342.1,308.733333333333,323.344827586207
298.2,359.571428571429,289.066666666667,241.8,262.333333333333,219.9,240.233333333333,219.633333333333,279.933333333333,328.5,293.6,341.7,309.566666666667,323.137931034483
297.966666666667,357.964285714286,288.3,240.766666666667,258.933333333333,221.6,241.233333333333,219.333333333333,280.366666666667,328.233333333333,294.366666666667,340.333333333333,308.7,320.793103448276
