Hours;DK1;DK2;DK;SYS;DK1;DK2
00Ê-Ê01;1937;1400;3337;191,62;182,82;182,82
01Ê-Ê02;1851;1329;3180;178,64;174,84;174,84
02Ê-Ê03;1805;1279;3084;171,26;169,99;169,99
03Ê-Ê04;1790;1264;3054;169,84;167,75;167,75
04Ê-Ê05;1801;1252;3053;166,26;163,8;163,8
05Ê-Ê06;1845;1285;3130;168,87;165,96;165,96
06Ê-Ê07;1963;1348;3311;169,62;167,01;167,01
07Ê-Ê08;2170;1467;3637;179,17;171,33;171,33
08Ê-Ê09;2365;1605;3970;186,62;178,64;178,64
09Ê-Ê10;2440;1724;4164;197,74;184,24;184,24
10Ê-Ê11;2497;1795;4292;207,96;197,59;197,59
11Ê-Ê12;2486;1813;4299;213,33;200,87;200,87
12Ê-Ê13;2449;1779;4228;207,14;196,32;196,32
13Ê-Ê14;2413;1756;4169;201,24;188,86;188,86
14Ê-Ê15;2392;1754;4146;201,99;185,36;185,36
15Ê-Ê16;2387;1762;4149;220,19;194,9;194,9
16Ê-Ê17;2552;1906;4458;257,19;207,88;222,05
17Ê-Ê18;2791;2051;4842;338,64;216,98;269,27
18Ê-Ê19;2704;2017;4721;246,89;207,88;207,88
19Ê-Ê20;2478;1871;4349;205,05;183,72;183,72
20Ê-Ê21;2298;1746;4044;181,4;172,53;172,53
21Ê-Ê22;2185;1632;3817;175,06;168,35;168,35
22Ê-Ê23;2046;1530;3576;169,32;164,62;164,62
23Ê-Ê00;1906;1438;3344;163,43;158,58;158,58
00Ê-Ê01;1811;1356;3167;159,33;116,22;159,03
01Ê-Ê02;1752;1286;3038;149,64;142,1;148,67
02Ê-Ê03;1698;1239;2937;147,7;146,58;146,58
03Ê-Ê04;1672;1221;2893;146,35;144,94;144,94
04Ê-Ê05;1653;1214;2867;145,23;143,59;143,59
05Ê-Ê06;1704;1233;2937;146,35;144,64;144,64
06Ê-Ê07;1815;1287;3102;146,35;144,19;144,19
07Ê-Ê08;1945;1386;3331;148,14;145,98;145,98
08Ê-Ê09;2115;1519;3634;148,14;145,38;145,38
09Ê-Ê10;2239;1639;3878;153,74;150,31;150,31
10Ê-Ê11;2359;1733;4092;159,93;153,66;156,27
11Ê-Ê12;2390;1775;4165;164,63;161,05;161,05
