Time ID,070,071,072,073,074,075,076,077,078,079,080
 14:40:00  08/01/17,3.50,3.50,3.61,3.11,3.28,3.50,4.00,1.22,3.28,3.78,3.61
 14:50:00  08/01/17,3.50,3.50,3.61,3.11,3.28,3.50,4.00,1.22,3.28,3.78,3.61
 15:00:00  08/01/17,3.11,3.22,3.61,3.11,3.61,3.50,3.72,0.89,3.28,3.28,3.61
 15:10:00  08/01/17,3.11,3.22,3.61,3.11,3.61,3.50,3.72,0.89,3.28,3.28,3.61
 15:20:00  08/01/17,3.11,3.22,3.61,3.11,3.61,3.50,3.72,0.89,3.28,3.28,3.61
 15:30:00  08/01/17,4.22,3.61,3.61,5.89,6.39,5.22,6.00,0.89,4.00,4.50,3.61
 15:40:00  08/01/17,4.22,3.61,3.61,5.89,6.39,5.22,6.00,0.89,4.00,4.50,3.61
 15:50:00  08/01/17,4.22,3.61,3.61,5.89,6.39,5.22,6.00,0.89,4.00,4.50,3.61
 16:00:00  08/01/17,3.39,3.61,3.61,3.61,3.72,4.11,4.22,1.39,3.72,3.39,3.61
 16:10:00  08/01/17,3.39,3.61,3.61,3.61,3.72,4.11,4.22,1.39,3.72,3.39,3.61
 16:20:00  08/01/17,3.39,3.61,3.61,3.61,3.72,4.11,4.22,1.39,3.72,3.39,3.61
 16:30:00  08/01/17,3.39,3.61,3.61,3.28,3.39,3.22,3.28,0.72,3.72,3.39,3.61
 16:40:00  08/01/17,3.39,3.61,3.61,3.28,3.39,3.22,3.28,0.72,3.72,3.39,3.61
 16:50:00  08/01/17,3.39,3.61,3.61,3.28,3.39,3.22,3.28,0.72,3.72,3.39,3.61
 17:00:00  08/01/17,3.39,3.22,3.61,4.39,3.39,3.22,3.61,1.89,3.72,3.39,4.72
 17:10:00  08/01/17,3.39,3.22,3.61,4.39,3.39,3.22,3.61,1.89,3.72,3.39,4.72
 17:20:00  08/01/17,3.39,3.22,3.61,4.39,3.39,3.22,3.61,1.89,3.72,3.39,4.72
 17:30:00  08/01/17,3.39,3.22,3.61,3.22,3.11,2.89,3.11,1.22,3.28,3.39,3.28
 17:40:00  08/01/17,3.39,3.22,3.61,3.22,3.11,2.89,3.11,1.22,3.28,3.39,3.28
 17:50:00  08/01/17,3.39,3.22,3.61,3.22,3.11,2.89,3.11,1.22,3.28,3.39,3.28
 18:00:00  08/01/17,3.39,3.22,3.61,3.22,3.50,3.50,3.61,1.22,3.28,4.72,3.61
 18:10:00  08/01/17,3.39,3.22,3.61,3.22,3.50,3.50,3.61,1.22,3.28,4.72,3.61
 18:20:00  08/01/17,3.39,3.22,3.61,3.22,3.50,3.50,3.61,1.22,3.28,4.72,3.61
 18:30:00  08/01/17,3.39,3.22,3.61,3.22,4.00,3.78,3.61,0.50,3.28,3.50,3.61
 18:40:00  08/01/17,3.39,3.22,3.61,3.22,4.00,3.78,3.61,0.50,3.28,3.50,3.61
 18:50:00  08/01/17,3.39,3.22,3.61,3.22,4.00,3.78,3.61,0.50,3.28,3.50,3.61
 19:00:00  08/01/17,4.22,3.89,4.39,3.22,3.50,3.50,3.61,1.61,3.78,4.50,3.61
 19:10:00  08/01/17,4.22,3.89,4.39,3.22,3.50,3.50,3.61,1.61,3.78,4.50,3.61
 19:20:00  08/01/17,4.22,3.89,4.39,3.22,3.50,3.50,3.61,1.61,3.78,4.50,3.61
 19:30:00  08/01/17,3.61,3.28,3.50,3.22,3.50,3.50,3.28,7.39,9.28,8.00,8.11
 19:40:00  08/01/17,3.61,3.28,3.50,3.22,3.50,3.50,3.28,7.39,9.28,8.00,8.11
 19:50:00  08/01/17,3.61,3.28,3.50,3.22,3.50,3.50,3.28,7.39,9.28,8.00,8.11
 20:00:00  08/01/17,3.61,3.61,3.78,3.50,3.50,3.50,3.28,2.11,3.78,3.61,3.89
 20:10:00  08/01/17,3.61,3.61,3.78,3.50,3.50,3.50,3.28,2.11,3.78,3.61,3.89
 20:20:00  08/01/17,3.61,3.61,3.78,3.50,3.50,3.50,3.28,2.11,3.78,3.61,3.89
 20:30:00  08/01/17,3.61,3.61,3.78,4.61,3.50,3.50,3.61,0.39,3.22,3.22,3.39
 20:40:00  08/01/17,3.61,3.61,3.78,4.61,3.50,3.50,3.61,0.39,3.22,3.22,3.39
 20:50:00  08/01/17,3.61,3.61,3.78,4.61,3.50,3.50,3.61,0.39,3.22,3.22,3.39
 21:00:00  08/01/17,3.61,3.28,3.50,3.39,3.00,2.89,3.11,0.78,3.22,3.50,3.39
 21:10:00  08/01/17,3.61,3.28,3.50,3.39,3.00,2.89,3.11,0.78,3.22,3.50,3.39
 21:20:00  08/01/17,3.61,3.28,3.50,3.39,3.00,2.89,3.11,0.78,3.22,3.50,3.39
 21:30:00  08/01/17,3.28,3.28,3.50,3.39,3.61,3.50,3.72,1.11,4.22,4.78,3.39
 21:40:00  08/01/17,3.28,3.28,3.50,3.39,3.61,3.50,3.72,1.11,4.22,4.78,3.39
 21:50:00  08/01/17,3.28,3.28,3.50,3.39,3.61,3.50,3.72,1.11,4.22,4.78,3.39
 22:00:00  08/01/17,3.28,3.28,3.50,3.39,3.89,3.50,3.72,1.72,3.50,3.22,3.89
 22:10:00  08/01/17,3.28,3.28,3.50,3.39,3.89,3.50,3.72,1.72,3.50,3.22,3.89
 22:20:00  08/01/17,3.28,3.28,3.50,3.39,3.89,3.50,3.72,1.72,3.50,3.22,3.89
