Time ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
 07:10:00  08/01/17,-19.89,-20.22,-18.89,-21.50,-21.00,-19.28,-19.39,-21.11,-19.00,-20.72,-10.89,-10.28,-21.00,-19.78,-18.78,-21.00
 07:20:00  08/01/17,-19.89,-20.22,-18.89,-21.50,-21.00,-19.28,-19.39,-21.11,-19.00,-20.72,-10.89,-10.28,-21.00,-19.78,-18.78,-21.00
 07:30:00  08/01/17,-19.22,-19.50,-19.61,-19.89,-19.50,-20.61,-20.28,-19.50,-19.00,-20.22,-17.50,-17.50,3.22,1.39,-19.72,-20.11
 07:40:00  08/01/17,-19.22,-19.50,-19.61,-19.89,-19.50,-20.61,-20.28,-19.50,-19.00,-20.22,-17.50,-17.50,3.22,1.39,-19.72,-20.11
 07:50:00  08/01/17,-19.22,-19.50,-19.61,-19.89,-19.50,-20.61,-20.28,-19.50,-19.00,-20.22,-17.50,-17.50,3.22,1.39,-19.72,-20.11
 08:00:00  08/01/17,-19.61,-20.00,-18.78,-21.11,-20.50,-20.11,-19.61,-20.61,-19.00,-20.22,-19.22,-19.00,-16.50,-9.50,-19.72,-20.39
 08:10:00  08/01/17,-19.61,-20.00,-18.78,-21.11,-20.50,-20.11,-19.61,-20.61,-19.00,-20.22,-19.22,-19.00,-16.50,-9.50,-19.72,-20.39
 08:20:00  08/01/17,-19.61,-20.00,-18.78,-21.11,-20.50,-20.11,-19.61,-20.61,-19.00,-20.22,-19.22,-19.00,-16.50,-9.50,-19.72,-20.39
 08:30:00  08/01/17,-20.00,-20.00,-20.72,-20.50,-19.89,-20.11,-20.50,-18.72,-19.28,-19.22,-20.72,-20.78,-18.78,-19.00,-19.72,-19.78
 08:40:00  08/01/17,-20.00,-20.00,-20.72,-20.50,-19.89,-20.11,-20.50,-18.72,-19.28,-19.22,-20.72,-20.78,-18.78,-19.00,-19.72,-19.78
 08:50:00  08/01/17,-20.00,-20.00,-20.72,-20.50,-19.89,-20.11,-20.50,-18.72,-19.28,-19.22,-20.72,-20.78,-18.78,-19.00,-19.72,-19.78
 09:00:00  08/01/17,-20.00,-19.72,-20.39,-18.72,-18.72,-20.78,-19.22,-21.22,-20.00,-19.89,-19.72,-19.72,-20.39,-18.61,-19.72,-20.72
 09:10:00  08/01/17,-20.00,-19.72,-20.39,-18.72,-18.72,-20.78,-19.22,-21.22,-20.00,-19.89,-19.72,-19.72,-20.39,-18.61,-19.72,-20.72
