 03:40:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:42:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:44:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:46:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:48:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:50:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:52:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:54:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:56:00  08/01/17,-19.61,-19.61,-19.78,-18.22,-13.61
 03:58:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:00:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:02:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:04:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:06:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:08:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:10:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:12:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:14:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:16:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:18:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:20:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:22:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:24:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:26:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:28:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:30:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:32:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:34:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:36:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:38:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:40:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:42:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:44:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:46:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:48:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:50:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:52:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:54:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:56:00  08/01/17,-19.61,-19.89,-19.78,-18.61,-19.50
 04:58:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:00:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:02:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:04:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:06:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:08:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:10:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:12:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:14:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:16:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:18:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:20:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:22:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:24:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:26:00  08/01/17,-19.61,-19.61,-19.78,-18.61,-19.50
 05:28:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:30:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:32:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:34:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:36:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:38:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:40:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:42:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:44:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:46:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:48:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:50:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:52:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:54:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:56:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 05:58:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:00:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:02:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:04:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:06:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:08:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:10:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:12:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:14:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:16:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:18:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:20:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:22:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:24:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:26:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:28:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:30:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:32:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:34:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:36:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:38:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:40:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
 06:42:00  08/01/17,-19.61,-19.28,-19.39,-18.61,-19.50
